type	id	source	disposition	target	notes
source-file	src-001	planr-routing/.env.example	replace	.env.example	Standalone deployment example after Cloudflare ownership transfer.
source-file	src-002	planr-routing/Cargo.toml	move-generalize	Cargo.toml	Rename package to model-routing and remove Planr repository assumptions.
source-file	src-003	planr-routing/alchemy.run.ts	move-generalize	alchemy.run.ts	Transfer Cloudflare stack after resource and secret renaming.
generated-current	gen-001	planr-routing/dist/website/_headers	delete	regenerated	Current generated website output absent from frozen v1.5.0 Git tree; regenerate from standalone source.
generated-current	gen-002	planr-routing/dist/website/app.mjs	delete	regenerated	Current generated website output absent from frozen v1.5.0 Git tree; regenerate from standalone source.
generated-current	gen-003	planr-routing/dist/website/catalog-model.mjs	delete	regenerated	Current generated website output absent from frozen v1.5.0 Git tree; regenerate from standalone source.
generated-current	gen-004	planr-routing/dist/website/index.html	delete	regenerated	Current generated website output absent from frozen v1.5.0 Git tree; regenerate from standalone source.
generated-current	gen-005	planr-routing/dist/website/styles.css	delete	regenerated	Current generated website output absent from frozen v1.5.0 Git tree; regenerate from standalone source.
source-file	src-009	planr-routing/docs/MODEL_ROUTING_POLICY.md	move-generalize	docs/model-routing-policy.md	Standalone policy documentation.
source-file	src-010	planr-routing/docs/PRESET_COMPOSITION.md	move-generalize	docs/preset-composition.md	Standalone preset composition documentation.
source-file	src-011	planr-routing/docs/PRESET_EVALUATION.md	move-generalize	docs/preset-evaluation.md	Evidence and recommendation gates.
source-file	src-012	planr-routing/docs/PRESET_REGISTRY.md	move-generalize	docs/preset-registry.md	Registry and signature documentation.
source-file	src-013	planr-routing/evaluations/preset-suite-v1.toml	move-generalize	evaluations/preset-suite-v1.toml	Official evaluation metadata.
source-file	src-014	planr-routing/evaluations/sol-terra-luna-codex-v2.toml	move-generalize	evaluations/sol-terra-luna-codex-v2.toml	Model evaluation metadata with Planr assumptions removed.
source-file	src-015	planr-routing/fixtures/routing-bundle-v1/invalid-artifact-hash.json	move-generalize	fixtures/routing-bundle-v1/invalid-artifact-hash.json	Schema/adversarial fixture with standalone package fields.
source-file	src-016	planr-routing/fixtures/routing-bundle-v1/invalid-dual-artifact-payload.json	move-generalize	fixtures/routing-bundle-v1/invalid-dual-artifact-payload.json	Schema/adversarial fixture with standalone package fields.
source-file	src-017	planr-routing/fixtures/routing-bundle-v1/invalid-unsupported-version.json	move-generalize	fixtures/routing-bundle-v1/invalid-unsupported-version.json	Schema/adversarial fixture with standalone package fields.
source-file	src-018	planr-routing/fixtures/routing-bundle-v1/valid-balanced-codex.json	move-generalize	fixtures/routing-bundle-v1/valid-balanced-codex.json	Valid Codex bundle fixture with standalone package fields.
source-file	src-019	planr-routing/fixtures/routing-bundle-v1/valid-balanced-mixed.json	move-generalize	fixtures/routing-bundle-v1/valid-balanced-mixed.json	Valid mixed-host bundle fixture with standalone package fields.
source-file	src-020	planr-routing/host-bindings/claude-native.toml	move-generalize	host-bindings/claude-native.toml	Claude Code host binding; live label remains unverified until proven.
source-file	src-021	planr-routing/host-bindings/codex-openai.toml	move-generalize	host-bindings/codex-openai.toml	Codex host binding; enforce non-all fork evidence for selected child models.
source-file	src-022	planr-routing/host-bindings/cursor-fable-grok.toml	move-generalize	host-bindings/cursor-fable-grok.toml	Cursor/Fable/Grok binding; live label remains unverified until proven.
source-file	src-023	planr-routing/host-bindings/cursor-openai.toml	move-generalize	host-bindings/cursor-openai.toml	Cursor/OpenAI binding; live label remains unverified until proven.
source-file	src-024	planr-routing/host-bindings/mixed-host.toml	move-generalize	host-bindings/mixed-host.toml	Mixed-host deterministic output fixture.
generated-current	gen-006	planr-routing/node_modules/.bin/alchemy	delete	none	Current dependency install artifact absent from frozen v1.5.0 Git tree; never move or publish.
source-file	src-026	planr-routing/package.json	move-generalize	package.json	Website/tooling metadata after rebranding.
source-file	src-027	planr-routing/scripts/build-site.mjs	move-generalize	scripts/build-site.mjs	Standalone website build script fed by canonical compiler output.
source-file	src-028	planr-routing/scripts/check-alchemy-runtime.mjs	move-generalize	scripts/check-alchemy-runtime.mjs	Standalone Alchemy runtime check.
source-file	src-029	planr-routing/scripts/cloudflare-test.mjs	move-generalize	scripts/cloudflare-test.mjs	Test-domain Cloudflare deployment helper.
source-file	src-030	planr-routing/scripts/regenerate-preset-catalog.mjs	replace	scripts/regenerate-preset-catalog.mjs	Replace with compiler-owned catalog generation.
source-file	src-031	planr-routing/src/lib.rs	move-generalize	src/lib.rs	Routing domain, schema, catalog, validation, hashing, signing, and host probing.
source-file	src-032	planr-routing/src/main.rs	move-generalize	src/main.rs	CLI commands under model-routing with explicit integration modes.
source-file	src-033	planr-routing/usage-policies/balanced.toml	move-generalize	usage-policies/balanced.toml	Official preset data after rebranding.
source-file	src-034	planr-routing/usage-policies/low-usage.toml	move-generalize	usage-policies/low-usage.toml	Official preset data after rebranding.
source-file	src-035	planr-routing/usage-policies/max-quality.toml	move-generalize	usage-policies/max-quality.toml	Official preset data after rebranding.
source-file	src-036	planr-routing/usage-policies/read-only-audit.toml	move-generalize	usage-policies/read-only-audit.toml	Official preset data after rebranding.
source-file	src-037	planr-routing/website/README.md	move-generalize	website/README.md	Standalone website documentation.
source-file	src-038	planr-routing/website/_headers	move-generalize	website/_headers	Cloudflare static headers.
source-file	src-039	planr-routing/website/alchemy-runtime.test.mjs	move-generalize	website/alchemy-runtime.test.mjs	Website Alchemy runtime test.
source-file	src-040	planr-routing/website/app.mjs	move-generalize	website/app.mjs	Rebranded interactive website application.
source-file	src-041	planr-routing/website/build-catalog.mjs	replace	website/build-catalog.mjs	Replace with canonical compiler parity path.
source-file	src-042	planr-routing/website/build-site.test.mjs	move-generalize	website/build-site.test.mjs	Website build test.
source-file	src-043	planr-routing/website/catalog-model.mjs	move-generalize	website/catalog-model.mjs	Public catalog model.
source-file	src-044	planr-routing/website/catalog-model.test.mjs	move-generalize	website/catalog-model.test.mjs	Catalog model tests.
source-file	src-045	planr-routing/website/cloudflare-launcher.test.mjs	move-generalize	website/cloudflare-launcher.test.mjs	Cloudflare launcher tests.
source-file	src-046	planr-routing/website/data/catalog.json	replace	website/data/catalog.json	Regenerate from standalone compiler.
source-file	src-047	planr-routing/website/index.html	move-generalize	website/index.html	Rebranded website shell.
source-file	src-048	planr-routing/website/serve.mjs	move-generalize	website/serve.mjs	Local website server.
source-file	src-049	planr-routing/website/styles.css	move-generalize	website/styles.css	Rebranded website styles.
planr-consumer	planr-001	src/routing_bundle.rs	keep-then-delete	Planr Goal B	Planr-side consumer remains until standalone release, then hard-cut to neutral integration.
planr-consumer	planr-002	src/routing_bundle/tests.rs	split	Planr Goal B	Portable bundle validation fixtures move here; Planr consumer tests become deletion oracle.
planr-consumer	planr-003	src/cli/policy.rs	replace	Planr Goal B	Policy CLI ownership moves here; Planr keeps only integration-facing surfaces.
planr-consumer	planr-004	src/app/routing.rs	replace	Planr Goal B	Planr keeps opaque route resolution, not compiler/catalog logic.
